"Model","Accuracy","Sensitivity","Specificity","Precision"
"Logistic Regression",0.617851293809368,0.392521367521368,0.80970285021225,0.637183489420742
"Rule-Based Decision Tree",0.562233868326236,0.368803418803419,0.726925409338993,0.534862101022622
